"ModelN","VarGroup","Model","NumPredictors","MixedEffects","Effects","masterrank_global","masterrank_family","ModelName","value_Rsq","value_AIC","value_BIC","value_RMSE","value_RMSE.Std","value_RMSE.CVmean","value_RMSE.CVsd","value_Singular","value_Sig","value_ICC","maxVIF","value_ICC2","globalrank_Rsq","globalrank_AIC","globalrank_BIC","globalrank_RMSE","globalrank_RMSE.Std","globalrank_RMSE.CVmean","globalrank_RMSE.CVsd","globalrank_Singular","globalrank_Sig","globalrank_ICC","globalrank_ICC2","familyrank_Rsq","familyrank_AIC","familyrank_BIC","familyrank_RMSE","familyrank_RMSE.Std","familyrank_RMSE.CVmean","familyrank_RMSE.CVsd","familyrank_Singular","familyrank_Sig","familyrank_ICC","familyrank_ICC2","globalranks_mean","familyranks_mean"
3,3,"CanopyDiameter.m",1,"Species&Site","MixedInt",57,4,"3.MixedInt_Species&Site",0.76678,373.07509,389.66568,0.56303,0.14179,0.58587,0.06917,1,0.57006,NA,-Inf,0.23799,95.5,89,88,91.5,91.5,89,65,72,91.5,49,38.5,3.5,4,3,3.5,3.5,4,1,6,3.5,5,3.5,NA,NA
3,3,"CanopyDiameter.m",1,"Species&Site","MixedIntSlope",58,5,"3.MixedIntSlope_Species&Site",0.81552,370.31638,400.17946,0.52761,0.13287,0.56262,0.07573,0,0.54099,NA,-Inf,0.35075,86,86,90,85,85,84,71,24,85,50,57,1,2,4,1,1,1,2,3,1,6,6,NA,NA
3,3,"CanopyDiameter.m",1,"Species","MixedInt",59,6,"3.MixedInt_Species",0.71642,393.83487,407.10735,0.61613,0.15517,0.62752,0.0764,0,0.61884,0.0212,-Inf,0.0212,103,94,92,95,95,94,72,24,95,43,7,6,6,6,6,6,6,3,3,6,4,1,NA,NA
3,3,"CanopyDiameter.m",1,"Species","MixedIntSlope",60,7,"3.MixedIntSlope_Species",0.73179,396.32429,416.23301,0.60753,0.153,0.63054,0.08859,0,0.61264,0.04461,-Inf,0.03739,101,97,96,94,94,95,85,24,94,42,8,5,7,7,5,5,7,4,3,5,3,2,NA,NA
4,4,"Comp.DBH.H.Den",1,"Species&Site","MixedIntSlope",61,6,"4.MixedIntSlope_Species&Site",0.96046,53.78472,85.07289,0.23092,0.05794,0.24462,0.04582,1,0.23818,NA,-Inf,0.58571,13,20,16,9,9,3,27,72,12,51,85,1,1,1,1,1,1,2,6,1,6,6,NA,NA
4,4,"Comp.DBH.H.Den",1,"Species","MixedInt",62,7,"4.MixedInt_Species",0.91915,144.56945,158.4753,0.31573,0.07922,0.32141,0.04459,0,0.31751,0.09496,-Inf,0.09496,57,51,50,56,56,43,23,24,55,38,21,6,5,5,6,6,5,1,3,6,5,1,NA,NA
5,5,"Comp.Can.H.Den",1,"Species&Site","MixedInt",63,2,"5.MixedInt_Species&Site",0.82534,289.10781,305.69841,0.47798,0.12038,0.48318,0.0895,1,0.47873,NA,-Inf,0.00397,81.5,84,78,81.5,81.5,82,86,72,81.5,52,4.5,4.5,7,5,4.5,4.5,7,6,4,4.5,2,2.5,NA,NA
5,5,"Comp.Can.H.Den",1,"Species&Site","MixedIntSlope",64,3,"5.MixedIntSlope_Species&Site",0.85632,284.87402,314.7371,0.44713,0.11261,0.46512,0.09065,1,0.45336,NA,-Inf,0.09343,72,79,81,74,74,74,87,72,77,53,18.5,1,2,7,1,1,1,7,4,1,3,6,NA,NA
5,5,"Comp.Can.H.Den",1,"Species","MixedInt",65,4,"5.MixedInt_Species",0.82534,287.10781,300.38029,0.47798,0.12038,0.47909,0.08403,0,0.47873,0.00397,-Inf,0.00397,81.5,82,74,81.5,81.5,77,76,24,81.5,45,4.5,4.5,5,2,4.5,4.5,3,5,1,4.5,1,2.5,NA,NA
5,5,"Comp.Can.H.Den",1,"Species","MixedIntSlope",66,5,"5.MixedIntSlope_Species",0.83712,286.56657,306.47529,0.46697,0.1176,0.48127,0.05611,1,0.46953,NA,-Inf,0.0427,80,81,79,80,80,80,44,72,80,54,10,3,4,6,3,3,6,1,4,3,4,4,NA,NA
5,5,"Comp.Can.H.Den",1,"Site","MixedInt",67,6,"5.MixedInt_Site",0.82338,287.1924,300.46488,0.47968,0.1208,0.47967,0.07188,1,0.47968,NA,-Inf,0,83,83,75,83.5,83.5,78,68,72,83,55,2,6,6,3,6.5,6.5,4,3,4,6,5,1,NA,NA
5,5,"Comp.Can.H.Den",1,"Site","MixedIntSlope",68,7,"5.MixedIntSlope_Site",0.84034,284.68902,304.59774,0.45948,0.11572,0.47068,0.05997,1,0.46394,NA,-Inf,0.07041,79,78,77,79,79,76,52,72,79,56,13,2,1,4,2,2,2,2,4,2,6,5,NA,NA
6,6,"DBH.cm, Height.m",2,"Species&Site","MixedIntSlope",69,5,"6.MixedIntSlope_Species&Site",0.95594,88.88812,144.51154,0.24296,0.06096,0.30057,0.04392,0,0.25081,NA,1.10121,0.55392,21,32,44,17,16,32,22,24,21,57,82,1,2,4,1,1,3,5,2.5,1,4,5,NA,NA
6,6,"DBH.cm, Height.m",2,"Species","MixedIntSlope",70,6,"6.MixedIntSlope_Species",0.9522,103.05491,137.81955,0.27143,0.06811,0.67018,0.08798,1,0.2746,NA,1.01888,0.73973,25,38,40,34,34,98,82,72,34,58,96,2,3,3,3,3,7,7,5.5,3,5,6,NA,NA
6,6,"DBH.cm, Height.m",2,"Site","MixedIntSlope",71,7,"6.MixedIntSlope_Site",0.94461,119.51599,154.28062,0.27338,0.0686,0.31011,0.0425,1,0.28018,NA,1.08364,0.48948,37,46,48,35,35,36,17,72,36,59,76,4,5,5,4,4,4,3,5.5,4,6,4,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Species&Site","MixedIntSlope",72,5,"7.MixedIntSlope_Species&Site",0.95929,53.07218,106.1621,0.23329,0.05875,0.27226,0.02833,1,0.23864,NA,1.22593,0.6178,15,19,27,14,14,16,3,72,13,60,90,1,2,4,1,1,2,1,5,1,4,6,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Species","MixedIntSlope",73,6,"7.MixedIntSlope_Species",0.94202,97.60047,130.78167,0.2834,0.07137,0.33398,0.0423,1,0.28546,NA,1.38885,0.36138,41,35,36,42,42,50,16,72,42,61,59,5,6,6,5,5,6,3,5,5,5,2,NA,NA
7,7,"DBH.cm, CanopyDiameter.m",2,"Site","MixedIntSlope",74,7,"7.MixedIntSlope_Site",0.95663,55.34922,88.53042,0.24672,0.06213,0.3116,0.05643,1,0.25089,NA,1.27237,0.58367,20,22,19,22,22,37,45,72,22,62,84,3,3,3,3,3,5,5,5,3,6,5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species&Site","MixedIntSlope",75,5,"8.MixedIntSlope_Species&Site",0.9547,109.55219,166.76737,0.2585,0.06488,0.29326,0.06986,1,0.26462,NA,1.00024,0.49117,23,42,51,27,27,25,66,72,27,63,77,2,2,4,2,2,3,6,5,2,4,5,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Species","MixedIntSlope",76,6,"8.MixedIntSlope_Species",0.93686,157.93018,193.68967,0.30727,0.07712,0.32691,0.06581,1,0.30894,NA,1.00131,0.23711,46,54,60,50,50,48,61,72,50,64,37,5,5,6,5,5,6,5,5,5,5,2,NA,NA
8,8,"DBH.cm, WoodDensity.g.cm3",2,"Site","MixedIntSlope",77,7,"8.MixedIntSlope_Site",0.96384,48.19225,83.95174,0.23288,0.05845,0.30038,0.08496,1,0.23869,NA,1,0.59342,9,17,14,13,10,31,79,72,14,65,87,1,1,1,1,1,4,7,5,1,6,6,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species&Site","MixedInt",78,2,"9.MixedInt_Species&Site",0.85893,262.24812,282.15684,0.43368,0.10922,0.44527,0.09228,1,0.43811,NA,1.31573,0.08762,70.5,69,69,70.5,70.5,62,89,72,70.5,66,15.5,3.5,4,4,3.5,3.5,1,6,4,3.5,2,3.5,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species&Site","MixedIntSlope",79,3,"9.MixedIntSlope_Species&Site",0.87459,276.56181,329.65173,0.42041,0.10588,0.46659,0.11777,1,0.42581,NA,1.19692,0.17969,67,76,83,67,67,75,103,72,67,67,31,2,7,7,2,2,7,7,4,2,3,6,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species","MixedInt",80,4,"9.MixedInt_Species",0.84501,262.55266,279.14326,0.44936,0.11317,0.45308,0.06597,1,0.44936,NA,1.1334,0,76,71,67,77.5,77.5,68,62,72,75,68,2,6,5,3,6.5,6.5,4,3,4,6,4,1,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Species","MixedIntSlope",81,5,"9.MixedIntSlope_Species",0.8551,268.20741,301.38861,0.43763,0.11021,0.44661,0.08843,1,0.44005,NA,1.03999,0.05628,74,74,76,72,72,64,83,72,72,69,11,5,6,6,5,5,2,4,4,5,5,2,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Site","MixedInt",82,6,"9.MixedInt_Site",0.85893,260.24812,276.83872,0.43368,0.10922,0.45413,0.05892,0,0.43811,0.08762,1.31573,0.08762,70.5,65,65,70.5,70.5,69,49,24,70.5,41,15.5,3.5,2,2,3.5,3.5,5,1,1,3.5,1,3.5,NA,NA
9,9,"Height.m, CanopyDiameter.m",2,"Site","MixedIntSlope",83,7,"9.MixedIntSlope_Site",0.88398,254.384,287.5652,0.40511,0.10202,0.45846,0.09129,1,0.4123,NA,1.08494,0.1668,66,64,72,66,66,73,88,72,66,70,29,1,1,5,1,1,6,5,4,1,6,5,NA,NA
10,10,"Height.m, WoodDensity.g.cm3",2,"Species&Site","MixedIntSlope",84,6,"10.MixedIntSlope_Species&Site",0.77284,557.47636,613.09978,0.67322,0.16892,0.78873,0.13272,1,0.68676,NA,1.00095,0.43918,91,106,107,102,102,106,107,72,101,71,68,2,4,4,2,2,4,5,5.5,2,5,4,NA,NA
10,10,"Height.m, WoodDensity.g.cm3",2,"Species","MixedIntSlope",85,7,"10.MixedIntSlope_Species",0.54331,597.88335,632.64798,0.79314,0.19901,0.83286,0.15658,1,0.79776,NA,1.00136,0.08053,107,110,112,107,107,110,111,72,107,72,14,5,6,7,5,5,6,7,5.5,5,6,1,NA,NA
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Species&Site","MixedInt",86,3,"11.MixedInt_Species&Site",0.76718,374.5347,394.44342,0.56218,0.14158,0.57461,0.11923,1,0.56922,NA,1.03954,0.2403,93.5,91,89,89.5,89.5,86,104,72,89.5,73,40.5,3.5,3,2,3.5,3.5,1,7,4.5,3.5,3,3.5,NA,NA
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Species&Site","MixedIntSlope",87,4,"11.MixedIntSlope_Species&Site",0.81624,384.85934,437.94926,0.53293,0.13421,0.59511,0.11634,1,0.54464,NA,1.00008,0.27245,85,92,98,86,86,90,102,72,86,74,45,1,4,7,1,1,3,6,4.5,1,4,5,NA,NA
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Species","MixedInt",88,5,"11.MixedInt_Species",0.71417,395.65207,412.24267,0.61629,0.15521,0.6332,0.08848,0,0.61887,0.01894,1.02758,0.01894,104,96,95,96,96,96,84,24,96,44,6,6,6,5,6,6,6,4,1.5,6,2,1,NA,NA
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Species","MixedIntSlope",89,6,"11.MixedIntSlope_Species",0.72978,403.46969,436.65089,0.60632,0.1527,0.61836,0.08372,1,0.6111,NA,1.02222,0.06851,102,98,97,93,93,91,75,72,93,75,12,5,7,6,5,5,4,3,4.5,5,5,2,NA,NA
11,11,"CanopyDiameter.m, WoodDensity.g.cm3",2,"Site","MixedIntSlope",90,7,"11.MixedIntSlope_Site",0.80272,374.46346,407.64466,0.53565,0.1349,0.62295,0.10616,1,0.54725,NA,1.00077,0.30184,88,90,93,87,87,93,94,72,87,76,50,2,2,3,2,2,5,5,4.5,2,6,6,NA,NA
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Species&Site","MixedIntSlope",91,5,"12.MixedIntSlope_Species&Site",0.9733,12.64988,88.96664,0.19137,0.04819,0.35874,0.08035,1,0.19953,NA,1.18927,0.63548,2,3,20,1,1,58,73,72,2,77,91,1,1,6,1,1,7,6,5,1,4,6,NA,NA
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Species","MixedIntSlope",92,6,"12.MixedIntSlope_Species",0.9555,56.21383,102.66751,0.24358,0.06134,0.33675,0.1242,1,0.2478,NA,1.30811,0.29452,22,23,23,18,18,51,106,72,19,78,49,4,6,7,4,4,6,7,5,4,5,3,NA,NA
12,12,"DBH.cm, Height.m, CanopyDiameter.m",3,"Site","MixedIntSlope",93,7,"12.MixedIntSlope_Site",0.96424,38.51209,84.96577,0.22335,0.05625,0.30096,0.06617,1,0.23028,NA,1.26743,0.54039,8,10,15,8,8,33,63,72,8,79,81,2,3,4,2,2,5,5,5,2,6,5,NA,NA
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,"Species&Site","MixedInt",94,4,"13.MixedInt_Species&Site",0.94846,77.32483,101.66007,0.26309,0.06601,0.27181,0.02861,1,0.2666,NA,1.96414,0.2709,32.5,29,22,28.5,28.5,15,4,72,28.5,80,43.5,3.5,4,3,3.5,3.5,2,1,4.5,3.5,3,2.5,NA,NA
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,"Species&Site","MixedIntSlope",95,5,"13.MixedIntSlope_Species&Site",0.96873,35.48142,115.44008,0.20662,0.05184,0.35734,0.05956,1,0.21461,NA,1.03785,0.66619,5,9,30,3,3,57,50,72,4,81,93,1,2,4,1,1,6,6,4.5,1,4,6,NA,NA
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,"Species","MixedIntSlope",96,6,"13.MixedIntSlope_Species",0.94505,101.44844,150.11893,0.27042,0.06785,0.31402,0.04492,1,0.27343,NA,1.02037,0.37327,36,37,47,33,33,39,24,72,33,82,61,5,5,7,5,5,5,4,4.5,5,5,4,NA,NA
13,13,"DBH.cm, Height.m, WoodDensity.g.cm3",3,"Site","MixedIntSlope",97,7,"13.MixedIntSlope_Site",0.96696,21.0196,69.69009,0.21041,0.0528,0.36506,0.07195,1,0.21813,NA,1.03989,0.60025,7,6,11,6,5,60,69,72,7,83,88,2,1,1,2,2,7,7,4.5,2,6,5,NA,NA
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedInt",98,4,"14.MixedInt_Species&Site",0.95921,42.43938,65.66622,0.24363,0.06136,0.25612,0.04871,1,0.24702,NA,2.86642,0.51767,16.5,13,7,19.5,20,8,33,72,16.5,84,79,3.5,4,3,3.5,3.5,2,3,4.5,3.5,3,3,NA,NA
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedIntSlope",99,5,"14.MixedIntSlope_Species&Site",0.96902,28.71667,105.03343,0.20992,0.05287,0.3528,0.03942,1,0.21543,NA,1.20546,0.70321,4,8,25,5,6,56,11,72,5,85,95,1,2,4,1,1,6,1,4.5,1,4,6,NA,NA
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species","MixedIntSlope",100,6,"14.MixedIntSlope_Species",0.94279,103.20755,149.66123,0.28187,0.07099,0.30575,0.08098,1,0.28427,NA,1.51198,0.27687,40,39,46,41,41,34,74,72,41,86,46,5,6,7,5,5,4,6,4.5,5,5,2,NA,NA
14,14,"DBH.cm, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedIntSlope",101,7,"14.MixedIntSlope_Site",0.96844,11.10731,57.56099,0.21178,0.05333,0.45776,0.05458,1,0.21668,NA,1.3024,0.69335,6,2,5,7,7,71,40,72,6,87,94,2,1,1,2,2,7,4,4.5,2,6,5,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedInt",102,2,"15.MixedInt_Species&Site",0.85999,263.75511,286.98195,0.43277,0.10899,0.44937,0.09442,1,0.43727,NA,1.40322,0.09344,68.5,72,71,68.5,68.5,65,91,72,68.5,88,20,3.5,4,4,3.5,3.5,2,6,4,3.5,2,4,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species&Site","MixedIntSlope",103,3,"15.MixedIntSlope_Species&Site",0.89066,276.97482,353.29158,0.39774,0.10017,0.48294,0.05526,1,0.40619,NA,1.0542,0.19373,64,77,84,64,64,81,42,72,64,89,33,1,7,7,1,1,6,3,4,1,3,6,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species","MixedInt",104,4,"15.MixedInt_Species",0.84515,264.37465,284.28337,0.44916,0.11312,0.45596,0.05518,1,0.44916,NA,1.22131,0,75,73,70,75.5,75.5,70,41,72,74,90,2,6,5,3,6.5,6.5,4,2,4,6,4,1,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Species","MixedIntSlope",105,5,"15.MixedIntSlope_Species",0.85629,276.27771,322.73139,0.438,0.11031,0.44655,0.06781,1,0.44036,NA,1.06469,0.04082,73,75,82,73,73,63,64,72,73,91,9,5,6,6,5,5,1,4,4,5,5,2,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedInt",106,6,"15.MixedInt_Site",0.85999,261.75511,281.66383,0.43277,0.10899,0.458,0.04087,0,0.43727,0.09343,1.40322,0.09343,68.5,68,68,68.5,68.5,72,13,24,68.5,39,18.5,3.5,2,2,3.5,3.5,5,1,1,3.5,1,3,NA,NA
15,15,"Height.m, CanopyDiameter.m, WoodDensity.g.cm3",3,"Site","MixedIntSlope",107,7,"15.MixedIntSlope_Site",0.88578,260.98305,307.43673,0.40361,0.10165,0.55734,0.12397,1,0.41068,NA,1.11586,0.17949,65,67,80,65,65,83,105,72,65,92,30,2,1,5,2,2,7,7,4,2,6,5,NA,NA
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Species&Site","MixedInt",108,3,"16.MixedInt_Species&Site",0.96152,20.56644,47.1114,0.23236,0.05852,0.23645,0.05301,1,0.2354,NA,4.2076,0.33031,10.5,5,2,10.5,11.5,1,38,72,9.5,93,53.5,3.5,3,2,3.5,3.5,1,3,4.5,3.5,3,2.5,NA,NA
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Species&Site","MixedIntSlope",109,4,"16.MixedIntSlope_Species&Site",0.96921,41.1824,140.726,0.20835,0.05247,0.36257,0.16378,1,0.21432,NA,1.81462,0.60886,3,12,42,4,4,59,112,72,3,94,89,2,4,7,2,2,7,7,4.5,2,4,5,NA,NA
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Species","MixedInt",110,5,"16.MixedInt_Species",0.95021,47.51117,70.73801,0.25708,0.06474,0.2629,0.05718,0,0.25874,0.09169,4.17524,0.09169,28,15,12,26,26,11,46,24,25,40,17,6,5,4,6,6,3,4,1.5,6,2,1,NA,NA
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Species","MixedIntSlope",111,6,"16.MixedIntSlope_Species",0.95685,58.21333,117.93949,0.24284,0.06116,0.29563,0.06086,1,0.24609,NA,1.32788,0.3468,19,24,32,16,17,28,54,72,15,95,56,5,7,6,5,5,5,5,4.5,5,5,4,NA,NA
16,16,"DBH.cm, Height.m, CanopyDiameter.m, WoodDensity.g.cm3",4,"Site","MixedIntSlope",112,7,"16.MixedIntSlope_Site",0.9741,-8.6544,51.07176,0.1923,0.04843,0.32521,0.09658,1,0.19864,NA,1.24726,0.66402,1,1,4,2,2,46,92,72,1,96,92,1,1,3,1,1,6,6,4.5,1,6,6,NA,NA
